Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
AGRU Amine Drains Pump,Lean Amine Solution,55,35.9,VS1,5,1,25,25,25,0.1,1022,1.77,Yes ,No,Yes,,No,3.7,3.7,3.6,7.8,1.2,53,15,68,1450,15,173,No,14 + 53B,40,A-8,Yes,,Ex d IIB T3 ,Bushehr Gas Sweetening,01-120-P-3,DeepBlue,LDB 120-40X5-B-V,GA\Bushehr-Gas-Sweetening\01-120-P-3.pdf
Sulphur Plant Boiler Feed Water Pumps,Boiler Feed Water,56.5,150.1,OH2,1,3,115,115,119,1.7,947,0.24,No,No,No,,No,1.98,1.98,15.93,11.8,2.8,70,13.5,43,2950,75,355,No,23 + Ti + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,121-P-104-ABC,Deep Blue,APIFLO-P 50K3-400 ,GA\SP-20-21\121-P-104.pdf
Heavy Oil Pump ,Heavy Oil and Gasoline ,23,150,OH2,1,2,89,89,89,1.5,1117,0.38,No,,,,Yes,0.78,0.78,17.21,3,1.7,,12,33,2960,132,332,No,32 + 52,53,S-6,,,Ex n IIB T3,Marun,10-P-9471-AB,Ruhrpumpen,SVN 2x12 Slurry ,GA\Marun\10-P-9471-AB.pdf
Cold Condensate Pump,Water (Steam Condensate Quality),36,146,OH2,1,2,95,95,95,0.85,962,0.3,No,No,No,,No,0.49,1.27,14.25,,2.8,41.5,7.5,40,2950,55,341,No,23 + TI + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,121-P-105-AB,IIP,OHC 40-400 ,
TGT Rich Amine Pumps,Rich Amine Solution ,826,53,BB1,1,2,53,53,53,0.32,1055,2.17,Yes ,Yes,Yes,,No,0.66,6.4,6.26,13.1,5,840,230,76,1450,200,410,No,11 + 53B,20,A-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-130-P-2-AB,DeepBlue,SPLITFLO-EDS 200-440-A,
TGT Lean Amine Pumps,Lean Amine Solution ,817,68.5,BB1,1,2,79,79,79,0.65,1024,2.64,Yes ,Yes,Yes,,No,1.28,4.92,8.1,14.2,3,1000,250,75,1450,315,440,No,11 + 52,20,A-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-130-P-3-AB,DeepBlue,SPLITFLO-EDS 250-500G-A,
Cold Condensate Pump,Water (Steam Condensate Quality),36,146,OH2,1,2,60,60,60,0.2,983,0.46,No,No,No,,No,0.5,2.68,14.58,,2.8,41.5,7.5,40,2950,55,341,No,23 + TI + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,121-P-105-AB,IIP,OHC 40-400 ,
Process Water Pump ,Water,252,145,OH2,1,2,69,69,69,0.29,978,0.4,No,,,,No,0.85,0.85,14.75,5.6,4.2,,90,77,2977,160,330,No,11,47,S-6,,,Ex n IIB T3,Marun,10-P-2372-AB,Ruhrpumpen,SVN8 4x13 ,GA\Marun\10-P-2372-AB.pdf
TGT Amine Drains Pump,Amine,55,25,VS1,3,1,48,48,48,0.2,1040,3.6,No ,No,Yes,,No,0.1,3.7,2.6,7.6,1.2,54,15,68,1450,11,180,No,14 + 53B,40,A-8,Yes,,Ex d IIB T3 ,Bushehr Gas Sweetening,01-130-P-6,DeepBlue,LDB 120-40X3-B-V,GA\Bushehr-Gas-Sweetening\01-130-P-6.pdf
Cold Condensate Pumps,Water,13.2,142,OH2,1,2,60,60,95,0.2,983,0.46,No,No,No,,No,1.4,3.5,15.1,11.6,1.4,22.9,3.4,21,2955,33,332,No,23 + 61,46,S-6,,,Ex n IIA T3,SP 09-10,121-P-105-AB,KSB,RPH / 40-361,GA\SP-09-10\121-P-105-AB.pdf
