Service,Liquid,Q,H,Type,Stages,Qty,Min. T,T,Max. T,Pv,Density,Viscosity,Corrosive,Erosive,Hazardous,Flammable,Suspended Solids,Min. Ps,Max. Ps,Pd,NPSHA,NPSHR,BEP,Qmin,Efficiency,Speed,Power,Rated dia.,Forced Lubrication,Seal Plan,MAWP,Material,NACE,Inspection Class,Exp. Proof,Project,Tag,Vendor,Model,GA
Ethane Injection Pump,Liquid Ethane,568.7,286.3,BB2,2,2,-8,-8,-8,21.07,453,0.08,Yes,No,No,Yes,No,2.1,4.6,4.1,4.73,2.8,599,240,67.9,1460,360,676,No,11 + 53,,S-5(LCB),No,Level 3,Ex e,Kangan C2 Recovery,10-P-1382-AB,Sulzer,10 X 12 X 27M CD2,GA\Kangan-C2-Recovery\10-P-1382-AB.pdf
Condensate Circulation Pump,HC (C5+),48.1,111,OH2,1,4,60,131,131,8.5,632,0.21,No,No,Yes,,No,8.64,12.3,14.54,1.9,1.2,55.5,6,49,2950,30,301,No,11 + 53 + 61,45,S-6,,,Ex n IIA T3,SP 09-10,107-P-105-205-AB,KSB,RPHI 50/360,GA\SP-09-10\107-P-105-205-AB.pdf
Condensate Circulation Pump,HC (C5+),48.1,111,OH2,1,4,131,131,131,8.5,547,0.21,No,No,Yes,,No,7.64,11.3,13.54,2.7,1.1,78,15,47,2950,30,311,No,11 + 53 + 61,40,,No,,Ex n IIB T3,SP 20-21,107-P-105-205-AB,IIP,OHC 50-315 ,GA\SP-20-21\107-P-105-205-AB.pdf
Propane Pump,Liquid Propane,316.9,1283.7,BB5,10,2,51,51,51,17.9,447,0.07,No,No,No,Yes,No,5,7.3,13.4,5.34,3.6,368.8,114.5,73.2,2980,810,313,No,11 + 53,,S-1,No,Level 3,Ex e,Kangan C2 Recovery,10-p-1385-AB,Sulzer,GSG B2B 125-330 (C)(Bd),GA\Kangan-C2-Recovery\10-P-1385-AB.pdf
Butane Pump,Liquid Butane,137.1,1314.5,BB5,14,2,51,51,51,5.9,528,0.12,No,No,No,Yes,No,27.3,45.5,40.3,5.48,3.5,156.4,34,68.3,2980,450,269,No,11 + 53,,S-1,No,Level 2,Ex e,Kangan C2 Recovery,10-p-1386-AB,Sulzer,GSG B2B 100-300 (S)(Sd),GA\Kangan-C2-Recovery\10-P-1386-AB.pdf
Lean AMDEA Pump,Lean AMDEA,693.2,253.5,BB1,1,2,48,48,48,0.1,1020,2.57,Yes,No,Yes,No,No,29,44.4,31.8,12,6.8,692,277,75.8,2980,810,435,No,11 + 53B,,A-8,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1481-AB,Sulzer,10x14x20.63 HSB,GA\Kangan-C2-Recovery\10-P-1481-AB.pdf
Crude Hexane Feed Pump,Mother Liquor Hexane,100,110,OH2,1,2,60,60,60,0.76,637,0.22,No,No,No,Yes,Yes,0.38,0.38,7.25,9.8,2,118,35,62.5,2968,37,300,No,32 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-702-AB,IIP,IOH2-80-315,GA\Kangan-HDPE\40-P-702-AB.pdf
C5+ Stripper Reboiler Pumps,C5+ Cut + Mercaptans,102.8,108.6,OH2,1,2,178,178,178,9.9,564,0.12,Yes,Yes,Yes,Yes,No,0.18,14.51,3.35,3.99,2.05,108.8,28.4,65,2960,37,299,No,23 + 53B,40,S-5(LCB),No,Level 2,Ex d IIC T3 ,Ilam SRU,30-P-4003-AB,Roodhart,RCOH2-80-315,GA\Ilam-SRU\30-P-4003-AB.pdf
AMDEA Make Up/Slop Pump,AMDEA,12,30.1,VS4,1,1,15,15,102,1.01,1047,9,Yes,Yes,Yes,No,No,24.65,41.6,27.6,3,0.2,19.5,3,22.8,1460,7.5,300,No,11 + 53 + 61,,A-8,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1485,Sulzer,BNO 40-315,GA\Kangan-C2-Recovery\10-P-1485.pdf
Propane Loading Pump,Liquid Propane,66,300,VS6,6,2,-41,-41,-41,1.12,585,0.2,No,No,No,Yes,No,3.8,8.47,7.6,,2.4,75.9,15.3,62.1,2970,75,195,No,13 + 52,,S-5(LTCS),No,Level 2,Ex e,Kangan C2 Recovery,10-P-1681-AB,Sulzer,TTMC 80 -230 (S),GA\Kangan-C2-Recovery\10-P-1681-AB.pdf
Butane Loading Pump,Liquid Butane,44,303,VS6,5,2,-4,-4,-4,1.12,597,0.21,No,No,No,Yes,No,1.6,4.87,14.5,,2.1,51.4,8.7,48.2,2965,55,217,No,13 + 52,,S-5(LTCS),No,Level 2,Ex e,Kangan C2 Recovery,10-P-1682-AB,Sulzer,TTMC-50-220 (D),GA\Kangan-C2-Recovery\10-P-1682-AB.pdf
C5+ Product Loading Pump,C5+ Liquid Hydrocarbon,650,208.1,BB2,1,2,45,45,45,1.02,619,0.21,No,No,No,Yes,No,0.4,2.5,14.1,7.8,6,724,365,78,2980,355,393,No,53,,S-6,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1683-AB,Sulzer,8x10x18J BBS,GA\Kangan-C2-Recovery\10-P-1683-AB.pdf
Propane Loading Pump,Liquid Propane,1000,300,VS6,6,3,-41,-41,-41,1.12,584,0.2,No,No,No,Yes,No,0.15,1.04,10.21,,3.4,1077,431,79.5,1460,700,370,No,13 + 52,,S-5(LTCS),No,Level 2,Ex e,Kangan C2 Recovery,10-P-1684-ABC,Sulzer,14x18x24 VCR-D 6 Stage,GA\Kangan-C2-Recovery\10-P-1684-ABC.pdf
Butane Loading Pump,Liquid Butane,1000,303,VS6,6,3,-4,-4,-4,1.12,597,0.21,No,No,No,Yes,No,12.47,12.47,1.14,,3.5,1081,432,79.5,1460,710,371,No,13 + 52,,S-5(LTCS),No,Level 2,Ex e,Kangan C2 Recovery,10-P-1685-ABC,Sulzer,14 x18 x 24 VCR-D 6 Stage,GA\Kangan-C2-Recovery\10-P-1685-ABC.pdf
C5+ Injection Pump,C5+ Liquid Hydrocarbon,47.5,1270,BB5,13,2,45,45,45,1.12,618,0.21,No,No,No,Yes,No,-0.05,0.73,13.63,5.6,2.3,57.6,11.3,48.8,2980,250,266,No,13 + 53,,S-6,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1686-AB,Sulzer,GSG B2B 80-260 (L)/ 13,GA\Kangan-C2-Recovery\10-P-1686-AB.pdf
Off Spec. Propane Recycle Pump,Liquid Propane,40,416.2,VS6,13,1,-41,-41,-41,1.12,585,0.2,No,No,No,Yes,No,6.01,9.58,4.6,,1.71,42.9,7.1,61.9,2965,55,161,No,13 + 52,,S-5(LTCS),No,Level 2,Ex e,Kangan C2 Recovery,10-P-1687,Sulzer,TTMC 50 -180 (S),GA\Kangan-C2-Recovery\10-P-1687.pdf
Off Spec. Butane Recycle Pump,Liquid Butane,17,203,VS6,7,1,-4,-4,-4,1.12,597,0.21,No,No,No,Yes,No,-0.1,0.52,6.9,,1.2,19.7,3.9,45.4,2970,18.5,156,No,13 + 52,,S-5(LTCS),No,Level 2,Ex e,Kangan C2 Recovery,10-P-1688,Sulzer,TTMC 40 -160 (S),GA\Kangan-C2-Recovery\10-P-1688.pdf
Propylene Product Pump ,Propylene,72,108,OH2,1,2,47,47,47,19.16,469,0.07,No,,,,No,23.54,23.54,28.5,20,2.8,,12,58.5,2900,22,297,No,11 + 52,40,S-6,,,Ex n IIB T3,Marun,10-P-4372-AB,KSB,RPH 80-360 ,GA\Marun\10-P-4372-AB.pdf
AGE Rich Solution Pump,Rich Amine Solution,627,107.7,OH2,1,4,64,64,64,1.6,997,0.98,Yes,Yes,Yes,,No,1.06,4.81,11.59,30,2.6,722,180,77.5,1475,355,585,No,11 + 53B,40,A-8,Yes,,Ex n IIB T3,SP 20-21,108-P-504-604-AB,IIP,OHC-250-630 ,
Process Water Pumps,Process Water,151,107,OH2,1,2,118,118,118,1.85,945,0.24,No,No,No,No,No,5.5,24.3,23.5,4.2,2.8,184,60,50,1485,110,586,No,23 + 62,40,S-8,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1204-AB,CW Hydro,HB 200x100-650,GA\Kangan-Olefin\20-P-1204-AB.pdf
Condensate Pump ,Condensate ,237,105,OH2,1,2,111,111,111,1.49,950,0.24,No,,,,No,0.94,0.94,10.72,4.8,3.8,,50,76,2980,110,305,No,11,40,A-8,,,Ex n IIB T3,Marun,10-P-5371-AB,Ruhrpumpen,SVN8 4x13 ,GA\Marun\10-P-5371-AB.pdf
Depropanizer Reflux Pump,Propane,359.7,104.6,OH2,1,4,60,60,60,21.6,431,1,No,No,Yes,,No,21.83,29.43,25.25,4.59,2.9,383.6,80,66.6,1470,90,556,No,11 + 53M + 61,42,S-6,,,Ex n IIB T3  ,SP 09-10,107-P-101-201-AB,Flowserve,6HPX21B TK,GA\SP-09-10\107-P-101-201-AB.pdf
Internal Cooling Water,1st Slurry Cooler Jacket Pump,1900,25,BB1,1,2,40,40,48,0.11,990,0.66,No,No,No,Yes,No,0.86,0.86,3.28,17.9,7.5,1728,540,81,1487,185,363,No,11,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-205,IIP,IBB1-400-350-360,GA\Kangan-HDPE\40-P-205.pdf
Depropanizer Reflux Pumps,Propane,359.7,104.6,OH2,1,4,60,60,60,21.6,431,0.07,No,No,Yes,,No,20.83,28.43,24.25,1.9,1.8,470,140,68,1475,65,564,No,11 + 53M + 61,40,S-6(LCB),No,,Ex n IIB T3,SP 20-21,107-P-101-201-AB,IIP,OHC 200-630 ,GA\SP-20-21\107-P-101-201-AB.pdf
Steam Condensate Pump,Steam Condensate,38,104,OH2,1,1,48,162,180,6.5,920,0.18,No,No,No,,No,4.8,8.7,14.2,2.7,1.5,43,5.2,42,2950,33,297,No,23 + 61,40,S-6,,,Ex n IIA T3,SP 09-10,110-P-102,KSB,RPH / 50-360,GA\SP-09-10\110-P-101.pdf
Rainage Pumps,Fraction (C3+),30,101,OH2,1,2,45,45,45,13.81,475,0,No ,No,Yes,,No,16.01,,20.71,46,1.9,35,10,38,2950,15,290,No,11 + 52,40,S-1(LCB),No,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-340-P-1-AB,DeepBlue,EAP 40K2-315-9,GA\Bushehr-Gas-Sweetening\05-340-P-1.pdf
Deethanizer Transfer Pump,Hydrocarbon (C2+),179,101,OH2,1,8,39,39,94,30.2,460,0.07,No,No,Yes,,No,30.4,40.8,35,3.7,1.8,208,34,46.5,1485,75,570,No,11 + 53M + 61,48,A-8,,,Ex n IIA T3,SP 09-10,105-P-101-201-301-401-AB,KSB,RPH 150-630,GA\SP-09-10\105-P-101-201-301-401-AB.pdf
Internal Cooling Water,2nd Slurry Cooler Jacket Pump,1900,25,BB1,1,1,40,40,48,0.11,990,0.66,No,No,No,No,No,0.86,0.86,3.28,17.9,7.5,1728,540,81,1487,185,363,No,11,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-225,IIP,IBB1-400-350-360,GA\Kangan-HDPE\40-P-225.pdf
Deethanizer Transfer Pump,Hydrocarbon (C2+),179,101,OH2,1,8,39,39,94,30.2,460,0.07,No,No,Yes,,No,29.4,39.8,34,2.56,2.6,204,,71,2950,45,295,No,11 + 53M + 61,48,A-8,No,,Ex n IIB T3,SP 20-21,105-P-101-201-301-401-AB,IIP,OHC 100-315 ,GA\SP-20-21\105-P-101-201-301-401-AB.pdf
Reboiler Circulation Pumps,HC Oil,560,100,OH2,1,2,141,141,141,6.47,860,17.5,Yes,No,Yes,,No,0,1.1,13.8,6.5,2.5,700,220,64,1486,280,569,No,21 + 52 + 61,40,S-8,No,,Ex d IIB T4,Arvandan,0210-PA-001-2-3-AB,Deep Blue,APIFLO-P 250K6-630,GA\Arvandan\0210-PA-001-2-3-AB.pdf
Diesel Fuel Oil Pump,Diesel Fuel Oil,8.6,100,OH2,1,2,15,42,42,,860,10,No,No,No,Yes,No,0.19,4.1,5.08,7,0.78,12.8,3.6,19.5,2960,18.5,282,No,23,40,S-1,No,Level 2,Ex d IIC T3 ,Ilam SRU,30-P-0001-AB,Roodhart,RCOH2-25-315,GA\Ilam-SRU\30-P-0001-AB.pdf
1st Slurry Transfer Pump,SLR,120,100,OH2,1,2,67,67,67,0.99,699,14,No,No,No,Yes,Yes,0.39,0.39,7.25,5.7,2.3,120,35,59.8,2969,55,294,No,32 + 52,40,A-7,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-201-AB,IIP,Centrifugal OH2-80-315,GA\Kangan-HDPE\40-P-201-AB.pdf
Deethanizer Reflux Pumps,Hydrocarbon,88,99.6,OH2,1,2,-16,-16,-16,22.14,425,0.06,No,No,Yes,No,No,22.3,22.3,26.4,4.3,3,88,22,58,2955,30,290,No,11 + 53B,40,A-8,No,Level 2,Ex d/e,Kangan Olefin,20-P-1403-AB,CW Hydro,HB 80x50-315H,GA\Kangan-Olefin\20-P-1403-AB.pdf
Depropanizer Reflux Pump ,C3 Hydrocarbons ,253,99,OH2,1,2,46,46,46,17.5,466,0.08,No,,,,No,16.72,16.72,21.24,5,4,,77,74,2960,55,304,No,11 + 52,40,S-6,,,Ex n IIB T3,Marun,10-P-4071-AB,Ruhrpumpen,SVN8 4x13 ,GA\Marun\10-P-4071-AB.pdf
C4+ Stripper Reflux Pumps,C4+ Cut + Mercaptans,36.2,96.2,OH2,1,2,40,40,40,15.2,541,0.12,Yes,Yes,Yes,Yes,No,1.6,1.6,62.9,3.16,1.92,30.3,7.9,50.1,2960,15,283,No,11 + 53B,40,S-5(LCB),Yes,Level 3,Ex d IIC T3 ,Ilam SRU,30-P-3002-AB,Roodhart,RCOH2-40-315,GA\Ilam-SRU\30-P-3002-AB.pdf
AGRU Lean Amine Booster Pump,Ethane (C2),220,95.92,OH2,1,2,-2,-2,-2,22.7,409,0,No ,No,Yes,,No,21.95,25.37,25.805,5.96,2.3,270,68,62,1450,55,543,No,11 + 52,40,A-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,05-310-P-1-AB,DeepBlue,APIFLO-PG 150K5-560,
HP Flare Stacks Pumps - Phase 9&10,Wet Sour HC/Sour Oily Water,20,94,OH2,1,4,20,21,90,0.025,1000,1,Yes,No,Yes,,No,7.01,10.58,5.6,2.1,1.2,28,3.3,40,2945,22,271,No,11 + 53,45,S-8(LT),,,Ex n IIA T3,SP 09-10,140-P-104-204-AB,KSB,RPH / 40-281,GA\SP-09-10\140-P-104-204-AB.pdf
HP Flare Stacks Pumps,Sour Oily Water,20,94,OH2,1,4,-21,20,90,,1000,1,Yes,No,Yes,,No,0.36,4.6,9.58,2.1,1.5,25,7,33,2950,30,285,No,11 + 53 + 61,40,S-8(LCB),Yes,,Ex n IIB T3,SP 20-21,140-P-104-204-AB,Deep Blue,APIFLO-P 40K1-200A ,GA\SP-20-21\140-P-104-204.pdf
HP Flare Stacks Pumps,Wet Sour HC,20,94,OH2,1,4,-21,20,90,,600,0.4,Yes,No,Yes,,No,0.48,0.48,6.01,2.1,1.5,25,7,33,2950,30,285,No,11 + 53 + 61,40,S-8(LCB),Yes,,Ex n IIB T3,SP 20-21,140-P-104-204-AB,Deep Blue,APIFLO-P 40K1-200A ,GA\SP-20-21\140-P-104-204.pdf
LP Boiler Feed Water Pumps,Boiler Feed Water,124,93.72,OH2,1,2,123,123,123,2.2,940,0.22,No ,No,No,,No,2.49,5.07,11.14,13.2,3.6,155,59,62,2950,75,263,No,23 + 61,60,C-6,No,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-460-P-2-AB,DeepBlue,APIFL0-P 100K3-315A,
Atmospheric Condensate Pumps,LP Steam Condensates,50,91.3,OH2,1,2,100,100,115,1.01,958,0.28,No,No,Yes,No,No,1.43,1.53,10,4.5,2.9,53,13,51,2950,30,320,No,23 + 61,40,S-5,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1601-AB,CW Hydro,HB 50x40-250H,GA\Kangan-Olefin\20-P-1601-AB.pdf
SRU LP Boiler Feed Water Pumps,Boiler Feed Water,36.1,91,OH2,1,2,115,115,115,1.69,938,0.24,,,,,,6.66,11.35,10.21,11.4,3,35.5,7.2,42,2950,30,268,No,23 + 61,40,S-6,No,Level 2,Safe Area,NGL 3100,P-3181-05-AS,Deep Blue,EAP 40-315-45-I,GA\NGL-3100\P-3181-05-AS.pdf
Deethanizer Reflux Pump,Liquid Ethane,687.7,88.8,OH2,1,2,-8,-8,-8,21.07,442,0.07,Yes,No,No,Yes,No,0.5,3.8,5.5,5.6,3.9,695.7,186.9,76.1,1485,132,524,No,11 + 53,,S-5,No,Level 3,Ex e,Kangan C2 Recovery,10-P-1381-AB,Sulzer,ZF 250-560,GA\Kangan-C2-Recovery\10-P-1381-AB.pdf
HP Flare K. O. Drum Pump,HC Oil,25,88.7,OH2,1,2,270,270,270,0.99,1000,35,Yes,No,Yes,,,0.31,5.54,6.73,2.16,1.5,29.6,6.9,27.8,2950,30,278,No,11 + 52,40,S-6,No,,Ex d IIB T4,Arvandan,0230-PA-001-AB,Deep Blue,APIFLO-P 40K2-315,GA\Arvandan\0230-PA-001-AB.pdf
LP Flare K. O. Drum Pump,HC Oil,25,88.7,OH2,1,2,105,105,105,0.99,1000,35,Yes,No,Yes,,,0.15,3.8,6.24,2.16,1.5,29.6,6.9,27.8,2950,30,278,No,11 + 52,40,S-6,No,,Ex d IIB T4,Arvandan,0230-PA-002-AB,Deep Blue,APIFLO-P 40K2-315,GA\Arvandan\0230-PA-002-AB.pdf
Quench Water Circulation Pumps,Quench Water,1175,88.1,OH2,1,3,78,78,78,0.44,1000,0.36,Yes,Yes,No,No,No,3,3,11.4,10,8,1131,280,80,1481,400,564,No,32,40,S-8,No,Level 2,Ex d/e,Kangan Olefin,20-P-1201-ABC,CW Hydro,HB 300x250-600,GA\Kangan-Olefin\20-P-1201-ABC.pdf
SWS Bottom Pumps,Stripped Water,22.5,88,OH2,1,2,79,79,79,0.46,966,0.36,Yes ,No,Yes,,No,-0.04,4.2,8.2,4.4,2.5,28,7.1,36,2950,22,264,No,11 + 53B,40,S-8,Yes,,Ex de IIB T3 ,Bushehr Gas Sweetening,01-150-P-1-AB,DeepBlue,EAP 40K2-315,GA\Bushehr-Gas-Sweetening\01-150-P-1.pdf
Butane Settler Water Make Up Pump,Demineralized Water,7.3,88,OH2,1,2,45,45,45,0.1,974,0.54,Yes,No,No,,No,6,8.3,14.4,7,0.8,10.5,1.7,21,2940,13,261,No,11 + 61,48,A-7,,,Ex n IIA T3,SP 09-10,113-P-111-211,KSB,RPH / 40-280,GA\SP-09-10\113-P-111-211.pdf
Butane Settler Water Make Up Pump,Steam Condensate,10.8,88,OH2,1,2,45,45,45,0.1,974,0.54,Yes,No,No,,No,5,7.3,13.4,7,1.8,10.5,3.5,20,2950,18.5,280,No,11 + 61,40,A-8,No,,Ex n IIB T3,SP 20-21,113-P-111-211,Deep Blue,APIFLO-P 25K2-315A ,GA\SP-20-21\113-P-111-211.pdf
C5+ Stripper Reflux Pumps,C4 Cut + Mercaptans,40.3,87.9,OH2,1,2,40,40,40,8.7,546,0.13,Yes,Yes,Yes,Yes,No,5.61,7.15,10.94,3.18,1.25,36,9.5,49.5,2960,18.5,264,No,11 + 53B,40,S-5(LCB),Yes,Level 3,Ex d IIC T3 ,Ilam SRU,30-P-4002-AB,Roodhart,RCOH2-50-315,GA\Ilam-SRU\30-P-4002-AB.pdf
Depropanizer Reflux Pump,Liquid Propane,493.9,87.9,OH2,1,3,51,51,51,17.9,446,0.07,Yes,No,No,Yes,No,1.1,4,5.1,5.7,3.7,449.9,115.5,72.2,1480,90,541,No,11 + 53B,,S-1,No,Level 3,Ex e,Kangan C2 Recovery,10-P-1383-ABC,Sulzer,ZF 200-560,GA\Kangan-C2-Recovery\10-P-1383-ABC.pdf
Fresh Amine Pump,Amdea,13,87.1,OH2,1,2,-1,45,51,0.11,1052,39.45,,,,,,-0.98,-0.56,3.95,7.1,2,15.9,3,21.8,2950,30,259,No,11 + 61,40,S-5,No,Level 2,Safe Area,NGL 3100,P-3120-05-AS,Deep Blue,EAP 25K2-315,GA\NGL-3100\P-3120-05-AS.pdf
Stabilized Condensate Pump,Stabilized Condensate,205,86,OH2,1,1,8,33,70,0.86,800,0.68,Yes,Yes,Yes,,No,0.3,4.2,10.14,4.1,1.8,255,68,62,1450,110,516,No,11 + 53 + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,110-P-101,Deep Blue,APIFLO-P 150K4-560 ,GA\SP-20-21\110-P-101.pdf
Caustic Pumps,Casutic,4,20,VS4,1,2,48,48,48,0.8,1100,1.8,Yes,No,Yes,No,No,1,1,3.2,,1.78,6.8,2,15,2840,3.7,145,No,2,40,S-5,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1303-AB,CW Hydro,VISB 50x32-160H,GA\Kangan-Olefin\20-P-1303-AB.pdf
Dehydrator Feed Pump,Hexane,135,85,OH2,1,2,45,45,45,0.45,638,0.25,No,No,No,Yes,No,0.2,0.2,5.52,11,1.7,168,60,64,2966,45,268,No,11 + 52,40,S-5,No,Level 2,Ex e IIB T3,Kangan HDPE,40-P-706-AB,IIP,IOH2-100-315,GA\Kangan-HDPE\40-P-706-AB.pdf
Deethanizer Feed Pumps,Hydrocarbon,510,346,BB2,1,2,-41,-41,-41,11.4,481,0.09,No,No,Yes,Yes,No,11.66,11.66,27.96,5.5,4,510,125,65,1486,450,800,No,11 + 53B,40,A-8,No,Level 2,Ex d/e,Kangan Olefin,20-P-1401-AB,CW Hydro,HBD 250x200-2S,GA\Kangan-Olefin\20-P-1401-AB.pdf
Demineralized Water Pump ,Demin. Water ,290,83,OH2,1,2,46,46,46,0.1,990,0.59,No,,,,No,0.23,0.23,8.29,11.7,6,,40,78,2900,110,281,No,11 + 61,40,A-8,,,Ex n IIB T3,Marun,10-P-5571-AB,KSB,RPH 150-280B ,GA\Marun\10-P-5571-AB.pdf
C2 Splitter Reflux Pumps,Hydrocarbon,1879.9,97,BB2,1,2,-31,-31,-31,19.9,440,0.07,No,No,Yes,No,No,20.23,20.23,24.4,7.65,6,2283,580,82,1485,380,564,No,11 + 53B,40,A-8,No,Level 2,Ex d/e,Kangan Olefin,20-P-1405-AB,CW Hydro,DHB 500x400-600,GA\Kangan-Olefin\20-P-1405-AB.pdf
Steam Condensate Pump,Steam Condensate,38,83,OH2,1,1,48,162,180,6.5,905,0.17,No,No,No,,No,5.8,7.6,13.2,2.63,1,38,,47,2950,30,305,No,23 + TI + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,110-P-102,IIP,OHC 40-315 ,GA\SP-20-21\110-P-102.pdf
Stabilised Condensate Pump,Stablized Condensate,205,81,OH2,1,1,8,23,70,0.86,800,0.68,Yes,No,Yes,,No,1.3,43,7.4,3.4,1.8,255,100,59.8,1485,90,503,No,11 + 53,42,S-6,,,Ex n IIB T3  ,SP 09-10,110-P-101,Flowserve,6HPX21A,GA\SP-09-10\110-P-103.pdf
Boiler Feed Water (BFW) Pumps,Boiler Feed Water,234,1510,BB5,11,3,130,130,130,2.7,934,0.21,No,No,No,No,No,4.4,4.6,142.3,18,7.1,237,60,76,2979,1400,315,Yes,23 + 61,198,S-6,No,Level 2,Ex d/e,Kangan Olefin,20-P-1602-ABC,CW Hydro,DST 200x150-11S,GA\Kangan-Olefin\20-P-1602-ABC.pdf
Cold Train Condensate Pump ,C2 Minus Hydrocarbons ,330,80,OH2,1,2,-53,-53,-53,30.9,472,0.09,No,,,,No,30.04,30.04,33.74,3.3,2.3,,40,76.3,1480,55,488,No,11 + 52,50,LTCS,,,Ex n IIB T3,Marun,10-P-3371-AB,KSB,RPH 150-501 ,GA\Marun\10-P-3371-AB.pdf
Steam Condensate Pumps,Steam Condensate,70,79,OH2,1,2,100,107,133,1.3,958,0.3,No,No,No,,No,1.3,3.6,8.62,3.7,1.7,,,59,2950,33,253,No,23 + TI + 61,45,S-6,,,Ex n IIA T3,SP 09-10,102-P-106-AB,KSB,RPH / 80-280,GA\SP-09-10\102-P-106-AB.pdf
Fuel Oil Transfer Pumps,Fuel Oil,7.1,78.2,OH2,1,2,48,48,48,0,860,4.7,No,No,No,Yes,No,9.1,24,41.9,7.81,0.7,10.1,2.1,17.5,2950,7.5,248,No,11,51,S-1,No,Level 2,Ex e IIB T3 ,Kangan Utility & Offsite,88-P-3001-AB,Sulzer,1x3x11.5-1-OHH,GA\Kangan-Utility-&-Offsite\88-P-3001-AB.pdf
Cooling Tower Pumps,Cooling water,4600,65.3,BB1,1,11,13,35,45,0.06,1016,1.2,No,No,No,No,No,1.1,1.45,7.5,10.5,7.6,4503,1150,87,991,1100,697,No,,40,I-2,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1614-A-K,CW Hydro,DS 700x600-6F,GA\Kangan-Olefin\20-P-1614-A-K.pdf
Condensate Return Pump,Water,264,77.8,OH2,1,2,102,102,102,1.1,957,0.26,No,No,No,No,No,-0.12,0.5,3.1,6.4,2.1,273.9,70.6,72.9,1470,90,505,No,11,,S-1,No,Level 2,Ex e,Kangan C2 Recovery,10-P-1881-AB,Sulzer,ZF 150-500,GA\Kangan-C2-Recovery\10-P-1881-AB.pdf
Propylene Unloading Pump,Hydrocarbon,44,37.6,VS6,3,1,48,48,48,19.7,538,0.05,No,No,No,Yes,No,19.7,19.7,21.4,,3,57.4,14,53,2940,11,123,No,13 + 52,40,S-5,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1704,CW Hydro,VCM 150x100-3S,GA\Kangan-Olefin\20-P-1704.pdf
Propylene Feed Pump,Hydrocarbon,66,232.3,VS6,5,1,5,5,48,6.71,538,0.09,No,No,No,Yes,No,6.75,6.75,19,,3.63,82,22,67,2970,75,202,No,13 + 52,40,S-5,No,Level 2,Ex d/e IIB T3 ,Kangan Olefin,20-P-1705,CW Hydro,VCHT 150x100-5S,GA\Kangan-Olefin\20-P-1705.pdf
Cooling Water Pumps,Cooling Water,4600,65.3,BB1,1,11,13,35,35,5.63,1016,1.2,No,No,No,No,No,1.12,3.85,4.47,10.75,7.5,4272.2,1711.5,88.3,990,1000,711,No,11 + 61,40,I-2,No,Level 2,Safe Area,Kangan Utility & Offsite,83-P-1001-A-K,Sulzer,SMH 602-720,GA\Kangan-Utility-&-Offsite\83-P-1001-A-K.pdf
Contaminated Condensate Pumps,Contaminated Steam Condensate,375,95,VS6,3,2,35,79,79,0.46,994,0.72,No,No,No,No,No,0.1,1.15,18.2,,1.6,436.9,89,74.3,990,185,462,No,13,40,S-1,No,Level 2,Ex e IIB T3 ,Kangan Utility & Offsite,87-P-3001-A-C,Sulzer,TTMC-200-450 (B),GA\Kangan-Utility-&-Offsite\87-P-3001-A-C.pdf
Steam Condensate Pumps,POLISHED CONDENSATE,180,79.5,VS6,2,3,50,65,65,0.85,988,0.54,No,No,No,No,No,-0.2,0.51,7.1,3.9,1.6,193.6,38.6,67.1,1480,75,346,No,13,40,A-7,No,Level 2,Safe Area,Kangan Utility & Offsite,87-P-3002-A-E,Sulzer,TTMC-150-360 (D),GA\Kangan-Utility-&-Offsite\87-P-3002-A-E.pdf
First & Second Steam Condensate Pumps,Steam Condensate,13.8,77,OH2,1,4,105,105,105,1.2,955,0.27,No,No,No,,No,0.5,2.5,7.7,,1,14,3.8,26,2950,15,266,No,23 + TI + 61,40,S-6,No,,Ex n IIB T3,SP 20-21,109-P-107-108-AB,IIP,OHC 25-315 ,
Steam Condensate Pumps,Steam Condensate,7.1,75.3,OH2,1,4,103,103,103,1.1,956,0.27,No,No,No,,No,1.4,3.5,8.5,2.6,1.8,9.4,4,18.3,2900,11,253,No,23 + TI + 61,42,S-6,,,Ex n IIB T3  ,SP 09-10,109-P-107-108-AB,Flowserve,1HPX11A,GA\SP-09-10\109-P-107-108-AB.pdf
